Symbol,Company,Sector,Industry,Current Price,Market Cap (B),52W High,52W Low,P/E Ratio,Forward P/E,PEG Ratio,Dividend Yield %,RSI (14),30D Volatility %,Beta,Return 1D %,Return 1M %,Return YTD %,Return 1Y %,Recommendation,Risk Level,Summary
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,76.67,329.8,82.0,65.35,25.220394,22.12111,N/A,266.0,30.83,16.16,0.332,N/A,-2.88,11.69,13.71,STRONG BUY,MODERATE,The Coca-Cola Company (KO) - Consumer Defensive. Golden cross pattern (50 SMA > 200 SMA) Low beta (d
PEP,PepsiCo Inc.,Consumer Defensive,Beverages - Non-Alcoholic,155.43,212.52,171.48,127.6,25.947414,17.020044,N/A,364.0,25.18,20.16,0.375,N/A,-4.61,10.25,8.5,STRONG BUY,MODERATE,PepsiCo Inc. (PEP) - Consumer Defensive. RSI indicates oversold conditions Golden cross pattern (50 
MRK,Merck & Co. Inc.,Healthcare,Drug Manufacturers - General,114.44,282.94,125.14,73.31,15.71978,11.704089,N/A,293.0,39.35,25.49,0.264,N/A,-5.24,8.3,25.21,STRONG BUY,MODERATE,Merck & Co. Inc. (MRK) - Healthcare. Golden cross pattern (50 SMA > 200 SMA) Low beta (defensive sto
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,209.7,370.79,244.81,164.39,88.48102,13.011979,N/A,315.0,32.84,28.08,0.334,N/A,-8.32,-7.82,1.35,HOLD,MODERATE,AbbVie Inc. (ABBV) - Healthcare. Trading below 50-day SMA Golden cross pattern (50 SMA > 200 SMA) Lo
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,27.24,154.87,27.94,20.92,20.025736,9.62963,N/A,627.0,51.45,24.34,0.412,N/A,-0.49,9.97,11.03,BUY,LOW,Pfizer Inc. (PFE) - Healthcare. Golden cross pattern (50 SMA > 200 SMA) Low beta (defensive stock) A
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,123.2,982.26,134.69,79.81,45.128242,37.51286,N/A,79.0,46.88,28.46,0.657,N/A,-2.7,9.26,45.32,BUY,MODERATE,Walmart Inc. (WMT) - Consumer Defensive. Golden cross pattern (50 SMA > 200 SMA) Attractive dividend
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,988.95,438.79,1067.08,844.06,51.42746,44.07335,N/A,52.0,50.83,19.53,0.993,N/A,-0.72,15.89,10.73,BUY,MODERATE,Costco Wholesale Corporation (COST) - Consumer Defensive. Golden cross pattern (50 SMA > 200 SMA) At
DIS,The Walt Disney Company,Communication Services,Entertainment,99.77,176.93,124.69,80.1,14.693666,13.562247,N/A,150.0,21.89,28.22,1.443,N/A,-6.84,-10.8,1.53,BUY,MODERATE,The Walt Disney Company (DIS) - Communication Services. RSI indicates oversold conditions Trading be
NFLX,Netflix Inc.,Communication Services,Entertainment,95.0,402.98,134.12,75.01,37.549446,24.713737,N/A,N/A,73.63,50.77,1.714,N/A,21.81,4.41,2.15,SELL,HIGH,Netflix Inc. (NFLX) - Communication Services. RSI indicates overbought conditions Trading above 50-d
BA,The Boeing Company,Industrials,Aerospace & Defense,207.59,163.13,254.35,128.88,83.36948,44.13334,N/A,N/A,33.99,31.45,1.096,N/A,-13.12,-8.86,28.48,HOLD,HIGH,The Boeing Company (BA) - Industrials. Trading below 50-day SMA Golden cross pattern (50 SMA > 200 S
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,706.5,330.63,789.81,267.3,37.55981,25.517124,N/A,86.0,37.21,38.1,1.531,N/A,-6.05,18.34,112.71,BUY,HIGH,Caterpillar Inc. (CAT) - Industrials. Golden cross pattern (50 SMA > 200 SMA) Attractive dividend yi
GS,Goldman Sachs Group Inc.,Financial Services,Capital Markets,811.22,243.31,984.7,439.38,15.804012,12.472248,N/A,223.0,24.35,38.96,1.336,N/A,-12.66,-10.81,50.06,STRONG BUY,MODERATE,Goldman Sachs Group Inc. (GS) - Financial Services. RSI indicates oversold conditions Trading below 
MS,Morgan Stanley,Financial Services,Capital Markets,159.45,253.18,192.68,94.33,15.616553,12.958478,N/A,253.0,23.21,37.66,1.207,N/A,-9.71,-11.86,38.62,STRONG BUY,MODERATE,Morgan Stanley (MS) - Financial Services. RSI indicates oversold conditions Trading below 50-day SMA
BRK.B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No historical data available
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,199.97,326.03,267.08,76.48,76.61686,18.609789,N/A,N/A,47.12,73.76,2.022,N/A,-0.07,-10.52,93.19,HOLD,HIGH,Advanced Micro Devices Inc. (AMD) - Technology. Trading below 50-day SMA Golden cross pattern (50 SM
INTC,Intel Corporation,Technology,Semiconductors,45.06,225.11,54.6,17.67,N/A,45.466816,N/A,N/A,48.92,52.82,1.375,N/A,-0.88,14.42,73.84,BUY,MODERATE,Intel Corporation (INTC) - Technology. Golden cross pattern (50 SMA > 200 SMA) Strong 1-year return 
CRM,Salesforce Inc.,Technology,Software - Application,194.29,182.05,296.05,174.57,24.940948,13.033317,N/A,90.0,44.9,40.55,1.307,N/A,3.46,-23.39,-29.84,SELL,MODERATE,Salesforce Inc. (CRM) - Technology. Trading below 50-day SMA Death cross pattern (50 SMA < 200 SMA) 
ORCL,Oracle Corporation,Technology,Software - Infrastructure,153.12,440.38,345.72,118.86,27.490124,19.2079,N/A,129.0,53.08,59.96,1.648,N/A,-1.95,-21.55,3.49,HOLD,HIGH,Oracle Corporation (ORCL) - Technology. Trading below 50-day SMA Death cross pattern (50 SMA < 200 S
IBM,International Business Machines,Technology,Information Technology Services,253.71,238.09,324.9,214.5,22.775133,18.975517,N/A,262.0,62.47,52.26,0.706,N/A,-2.71,-12.47,5.29,SELL,MODERATE,International Business Machines (IBM) - Technology. Trading below 50-day SMA Death cross pattern (50
NKE,Nike Inc.,Consumer Cyclical,Footwear & Accessories,53.92,79.81,80.17,52.28,31.528595,23.445719,N/A,298.0,9.59,32.56,1.286,N/A,-17.2,-14.23,-24.6,SELL,HIGH,Nike Inc. (NKE) - Consumer Cyclical. RSI indicates oversold conditions Trading below 50-day SMA Deat
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,320.61,228.79,341.75,283.47,26.851341,22.39176,N/A,228.0,33.8,16.61,0.496,N/A,-1.68,6.31,8.04,STRONG BUY,LOW,McDonald's Corporation (MCD) - Consumer Cyclical. Golden cross pattern (50 SMA > 200 SMA) Low beta (
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,95.3,108.58,104.82,75.5,79.416664,32.269424,N/A,254.0,38.7,26.89,0.928,N/A,-0.48,14.22,-0.36,BUY,MODERATE,Starbucks Corporation (SBUX) - Consumer Cyclical. Golden cross pattern (50 SMA > 200 SMA) Attractive
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,11.94,47.65,14.8,8.44,N/A,6.504964,N/A,503.0,13.86,33.52,1.665,N/A,-13.77,-9.5,26.2,STRONG BUY,HIGH,Ford Motor Company (F) - Consumer Cyclical. RSI indicates oversold conditions Trading below 50-day S
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,74.32,69.33,87.62,41.6,22.727829,5.3557243,N/A,97.0,26.35,28.0,1.356,N/A,-10.96,-8.01,54.26,STRONG BUY,MODERATE,General Motors Company (GM) - Consumer Cyclical. RSI indicates oversold conditions Trading below 50-
T,AT&T Inc.,Communication Services,Telecom Services,27.62,195.85,29.79,22.95,9.087172,10.840093,N/A,399.0,51.79,24.91,0.576,N/A,-0.91,13.8,8.36,BUY,MODERATE,AT&T Inc. (T) - Communication Services. Death cross pattern (50 SMA < 200 SMA) Attractive P/E ratio 
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,49.71,209.64,51.67,38.39,12.242612,9.447465,N/A,560.0,56.63,20.29,0.281,N/A,3.44,24.8,20.07,STRONG BUY,MODERATE,Verizon Communications Inc. (VZ) - Communication Services. Trading above 50-day SMA Golden cross pat
NEE,NextEra Energy Inc.,Utilities,Utilities - Regulated Electric,91.22,190.06,95.91,61.72,27.642426,20.83262,N/A,269.0,49.23,20.33,0.749,N/A,0.68,13.48,32.86,STRONG BUY,MODERATE,NextEra Energy Inc. (NEE) - Utilities. Golden cross pattern (50 SMA > 200 SMA) Attractive dividend y
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,131.88,102.56,134.49,111.22,20.867088,18.431557,N/A,320.0,60.71,14.56,0.466,N/A,5.3,13.25,13.08,STRONG BUY,MODERATE,Duke Energy Corporation (DUK) - Utilities. Trading above 50-day SMA Golden cross pattern (50 SMA > 2
SO,The Southern Company,Utilities,Utilities - Regulated Electric,97.3,108.92,100.84,83.09,24.821428,19.80694,N/A,301.0,55.25,20.81,0.41,N/A,6.88,12.48,11.37,STRONG BUY,MODERATE,The Southern Company (SO) - Utilities. Trading above 50-day SMA Golden cross pattern (50 SMA > 200 S
SPY,SPDR S&P 500 ETF Trust,ETF,Index Fund,667.08,612.22,697.84,481.8,26.461294,N/A,N/A,106.0,31.9,13.07,N/A,N/A,-2.8,-2.36,20.3,STRONG BUY,LOW,SPDR S&P 500 ETF Trust (SPY) - ETF. Golden cross pattern (50 SMA > 200 SMA) Attractive dividend yiel
QQQ,Invesco QQQ Trust,ETF,Index Fund,600.15,235.92,637.01,402.39,32.304943,N/A,N/A,46.0,42.93,17.42,N/A,N/A,-0.93,-2.12,27.11,BUY,MODERATE,Invesco QQQ Trust (QQQ) - ETF. Golden cross pattern (50 SMA > 200 SMA) Attractive dividend yield (46
IWM,iShares Russell 2000 ETF,ETF,Index Fund,248.58,69.86,271.6,171.73,18.158157,N/A,N/A,98.0,28.83,21.1,N/A,N/A,-5.67,0.1,23.64,STRONG BUY,LOW,iShares Russell 2000 ETF (IWM) - ETF. RSI indicates oversold conditions Golden cross pattern (50 SMA
VTI,Vanguard Total Stock Market ETF,ETF,Index Fund,328.82,681.87,344.42,236.42,25.773085,N/A,N/A,111.0,31.71,13.66,N/A,N/A,-2.96,-2.23,20.47,STRONG BUY,LOW,Vanguard Total Stock Market ETF (VTI) - ETF. Golden cross pattern (50 SMA > 200 SMA) Attractive divi
GLD,SPDR Gold Shares,ETF,Commodities,449.12,116.91,509.7,272.58,N/A,N/A,N/A,N/A,33.54,31.2,N/A,N/A,-2.0,12.76,60.42,BUY,MODERATE,SPDR Gold Shares (GLD) - ETF. Golden cross pattern (50 SMA > 200 SMA) Strong 1-year return (60.42%).
